iter	Passed	Remaining
0	2	274
1	6	294
2	9	309
3	11	275
4	14	271
5	15	241
6	16	216
7	17	197
8	17	181
9	18	168
10	19	158
11	20	150
12	21	141
13	21	133
14	22	126
15	23	123
16	24	120
17	26	119
18	27	117
19	28	114
20	31	119
21	33	119
22	34	116
23	36	115
24	37	112
25	39	111
26	40	109
27	41	107
28	43	106
29	45	105
30	47	105
31	48	103
32	66	135
33	67	131
34	68	127
35	69	123
36	70	119
37	71	116
38	72	112
39	73	109
40	74	106
41	74	102
42	75	99
43	76	97
44	77	95
45	78	92
46	79	90
47	80	87
48	81	85
49	82	82
50	83	80
51	84	78
52	85	75
53	86	73
54	87	71
55	87	69
56	88	66
57	89	64
58	90	62
59	91	60
60	92	59
61	93	57
62	94	55
63	95	53
64	96	52
65	97	50
66	98	48
67	99	46
68	100	45
69	101	43
70	101	41
71	102	39
72	103	38
73	104	36
74	105	35
75	106	33
76	106	31
77	108	30
78	109	29
79	110	27
80	111	26
81	112	24
82	112	23
83	113	21
84	115	20
85	115	18
86	116	17
87	116	15
88	117	14
89	118	13
90	118	11
91	119	10
92	119	9
93	120	7
94	120	6
95	121	5
96	121	3
97	122	2
98	123	1
99	123	0
