iter	Passed	Remaining
0	235	235072
1	236	117982
2	237	78880
3	238	59364
4	239	47606
5	240	39783
6	241	34211
7	242	30018
8	242	26751
9	243	24145
10	244	22025
11	245	20252
12	246	18744
13	248	17479
14	251	16521
15	252	15559
16	254	14693
17	255	13922
18	256	13229
19	257	12597
20	257	12025
21	258	11507
22	259	11035
23	260	10606
24	261	10208
25	262	9838
26	263	9498
27	264	9195
28	266	8939
29	269	8698
30	270	8466
31	271	8223
32	272	7995
33	273	7784
34	275	7582
35	276	7390
36	276	7208
37	278	7050
38	281	6930
39	283	6792
40	284	6644
41	285	6504
42	286	6378
43	335	7292
44	337	7164
45	350	7271
46	353	7166
47	354	7040
48	356	6915
49	357	6800
50	359	6691
51	361	6584
52	362	6476
53	364	6381
54	366	6290
55	367	6201
56	369	6114
57	371	6036
58	372	5945
59	373	5853
60	374	5764
61	375	5679
62	376	5604
63	378	5538
64	380	5470
65	381	5398
66	382	5326
67	383	5255
68	384	5185
69	385	5117
70	386	5051
71	387	4989
72	387	4926
73	388	4865
74	389	4804
75	390	4746
76	393	4711
77	394	4668
78	395	4614
79	396	4561
80	397	4511
81	398	4462
82	399	4408
83	399	4361
84	401	4317
85	403	4284
86	404	4243
87	405	4199
88	406	4156
89	407	4115
90	407	4075
91	408	4035
92	409	3996
93	411	3963
94	412	3926
95	413	3889
96	413	3852
97	414	3815
98	415	3780
99	418	3765
100	420	3740
101	421	3708
102	422	3676
103	423	3644
104	423	3613
105	424	3583
106	425	3554
107	426	3524
108	427	3495
109	428	3467
110	429	3438
111	430	3410
112	431	3384
113	432	3362
114	435	3348
115	436	3326
116	438	3305
117	439	3284
118	440	3261
119	441	3239
120	442	3216
121	443	3192
122	444	3171
123	451	3189
124	453	3174
125	454	3154
126	456	3135
127	457	3116
128	458	3096
129	459	3076
130	460	3056
131	464	3053
132	465	3035
133	466	3016
134	467	2996
135	468	2976
136	469	2956
137	470	2937
138	471	2918
139	471	2899
140	472	2881
141	473	2862
142	474	2843
143	475	2825
144	477	2813
145	478	2798
146	479	2781
147	480	2764
148	481	2748
149	482	2732
150	482	2715
151	483	2698
152	484	2681
153	485	2665
154	485	2648
155	486	2633
156	487	2617
157	488	2601
158	488	2585
159	489	2570
160	491	2559
161	492	2548
162	493	2535
163	494	2521
164	495	2507
165	496	2493
166	497	2479
167	497	2466
168	498	2452
169	499	2438
170	500	2425
171	501	2412
172	501	2399
173	502	2386
174	503	2373
175	504	2361
176	516	2399
177	516	2386
178	517	2373
179	518	2360
180	518	2348
181	519	2335
182	520	2324
183	521	2314
184	522	2303
185	523	2292
186	524	2280
187	525	2269
188	526	2258
189	527	2246
190	527	2235
191	528	2224
192	529	2213
193	529	2201
194	530	2190
195	531	2179
196	532	2168
197	532	2158
198	533	2147
199	534	2136
200	534	2126
201	537	2123
202	538	2115
203	539	2106
204	540	2096
205	541	2086
206	542	2076
207	542	2066
208	543	2057
209	544	2047
210	545	2038
211	545	2028
212	546	2019
213	547	2009
214	547	2000
215	548	1991
216	549	1981
217	549	1972
218	550	1964
219	552	1958
220	553	1950
221	554	1942
222	555	1934
223	555	1925
224	556	1917
225	557	1908
226	558	1900
227	558	1892
228	559	1884
229	560	1875
230	561	1867
231	561	1859
232	562	1851
233	563	1844
234	564	1836
235	565	1829
236	565	1822
237	567	1817
238	568	1810
239	569	1803
240	570	1796
241	571	1788
242	571	1781
243	572	1774
244	573	1767
245	574	1760
246	574	1752
247	575	1745
248	576	1738
249	577	1731
250	577	1723
251	578	1716
252	579	1709
253	579	1702
254	580	1695
255	581	1690
256	583	1687
257	584	1681
258	585	1675
259	586	1668
260	587	1662
261	587	1655
262	588	1649
263	589	1643
264	590	1637
265	591	1631
266	591	1624
267	592	1618
268	593	1611
269	593	1605
270	594	1599
271	595	1593
272	595	1587
273	597	1583
274	599	1579
275	600	1574
276	601	1569
277	602	1563
278	602	1558
279	603	1552
280	604	1546
281	605	1541
282	605	1535
283	606	1529
284	607	1523
285	608	1517
286	609	1513
287	609	1507
288	610	1501
289	611	1496
290	612	1491
291	613	1487
292	614	1482
293	615	1477
294	615	1471
295	616	1466
296	617	1461
297	618	1456
298	618	1451
299	619	1446
300	620	1440
301	621	1435
302	621	1430
303	622	1425
304	623	1420
305	624	1415
306	624	1410
307	625	1405
308	627	1402
309	629	1400
310	630	1395
311	630	1391
312	631	1386
313	632	1381
314	633	1377
315	634	1373
316	635	1368
317	636	1364
318	636	1359
319	637	1355
320	638	1350
321	639	1345
322	639	1341
323	640	1336
324	641	1332
325	642	1329
326	643	1325
327	645	1321
328	645	1317
329	646	1313
330	647	1309
331	648	1304
332	649	1300
333	649	1295
334	650	1291
335	651	1287
336	652	1283
337	653	1279
338	654	1275
339	654	1271
340	655	1266
341	656	1262
342	658	1260
343	659	1257
344	660	1253
345	661	1249
346	662	1246
347	662	1242
348	663	1238
349	664	1233
350	665	1229
351	665	1225
352	666	1221
353	667	1217
354	667	1213
355	668	1209
356	669	1205
357	669	1201
358	670	1197
359	671	1193
360	672	1190
361	674	1188
362	675	1184
363	676	1181
364	677	1178
365	678	1175
366	679	1171
367	680	1167
368	681	1164
369	681	1160
370	682	1157
371	683	1153
372	683	1149
373	684	1146
374	685	1142
375	686	1138
376	687	1136
377	689	1134
378	690	1132
379	691	1128
380	692	1125
381	693	1121
382	694	1118
383	694	1114
384	695	1111
385	696	1107
386	697	1104
387	697	1100
388	698	1097
389	699	1094
390	700	1090
391	700	1087
392	701	1083
393	702	1081
394	704	1078
395	705	1075
396	706	1072
397	706	1069
398	707	1065
399	708	1062
400	709	1059
401	710	1056
402	710	1052
403	711	1049
404	712	1046
405	712	1043
406	713	1039
407	714	1036
408	714	1033
409	715	1029
410	716	1026
411	717	1023
412	719	1022
413	720	1020
414	721	1017
415	722	1014
416	723	1010
417	723	1007
418	724	1004
419	725	1001
420	726	998
421	726	995
422	727	992
423	728	989
424	729	986
425	729	983
426	730	980
427	731	977
428	731	974
429	733	971
430	734	969
431	735	967
432	736	964
433	737	961
434	737	958
435	738	955
436	739	952
437	740	949
438	740	946
439	741	943
440	742	940
441	742	937
442	743	934
443	744	932
444	745	929
445	746	926
446	746	923
447	747	921
448	749	919
449	750	917
450	751	914
451	752	912
452	753	909
